"filename", "language", "Python", "JSON", "pip requirements", "toml", "Markdown", "PDF", "comment", "blank", "total"
"c:\Users\Jaisal Shah\Desktop\FLP\Bill\tk_invoice\Pipfile", "toml", 0, 0, 0, 18, 0, 0, 0, 4, 22
"c:\Users\Jaisal Shah\Desktop\FLP\Bill\tk_invoice\Pipfile.lock", "JSON", 0, 282, 0, 0, 0, 0, 0, 1, 283
"c:\Users\Jaisal Shah\Desktop\FLP\Bill\tk_invoice\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\Jaisal Shah\Desktop\FLP\Bill\tk_invoice\gui\add_entity_page.py", "Python", 79, 0, 0, 0, 0, 0, 0, 17, 96
"c:\Users\Jaisal Shah\Desktop\FLP\Bill\tk_invoice\gui\components\datepick.py", "Python", 23, 0, 0, 0, 0, 0, 1, 9, 33
"c:\Users\Jaisal Shah\Desktop\FLP\Bill\tk_invoice\gui\components\goods_table.py", "Python", 75, 0, 0, 0, 0, 0, 2, 24, 101
"c:\Users\Jaisal Shah\Desktop\FLP\Bill\tk_invoice\gui\invoice_generation.py", "Python", 366, 0, 0, 0, 0, 0, 9, 105, 480
"c:\Users\Jaisal Shah\Desktop\FLP\Bill\tk_invoice\gui\main_window.py", "Python", 49, 0, 0, 0, 0, 0, 0, 17, 66
"c:\Users\Jaisal Shah\Desktop\FLP\Bill\tk_invoice\gui\settings_page.py", "Python", 26, 0, 0, 0, 0, 0, 1, 13, 40
"c:\Users\Jaisal Shah\Desktop\FLP\Bill\tk_invoice\gui\view_data_page.py", "Python", 200, 0, 0, 0, 0, 0, 3, 74, 277
"c:\Users\Jaisal Shah\Desktop\FLP\Bill\tk_invoice\main.py", "Python", 8, 0, 0, 0, 0, 0, 2, 7, 17
"c:\Users\Jaisal Shah\Desktop\FLP\Bill\tk_invoice\models.py", "Python", 194, 0, 0, 0, 0, 0, 0, 52, 246
"c:\Users\Jaisal Shah\Desktop\FLP\Bill\tk_invoice\pdf_generation\create_invoice_pdf.py", "Python", 119, 0, 0, 0, 0, 0, 4, 41, 164
"c:\Users\Jaisal Shah\Desktop\FLP\Bill\tk_invoice\pdf_generation\pur.pdf", "PDF", 0, 0, 0, 0, 0, 97, 0, 1, 98
"c:\Users\Jaisal Shah\Desktop\FLP\Bill\tk_invoice\pdf_generation\purchase_sale_view.py", "Python", 49, 0, 0, 0, 0, 0, 1, 19, 69
"c:\Users\Jaisal Shah\Desktop\FLP\Bill\tk_invoice\readme.md", "Markdown", 0, 0, 0, 0, 5, 0, 0, 2, 7
"c:\Users\Jaisal Shah\Desktop\FLP\Bill\tk_invoice\requirements.txt", "pip requirements", 0, 0, 37, 0, 0, 0, 0, 0, 37
"c:\Users\Jaisal Shah\Desktop\FLP\Bill\tk_invoice\settings.json", "JSON", 0, 5, 0, 0, 0, 0, 0, 0, 5
"Total", "-", 1188, 287, 37, 18, 5, 97, 23, 387, 2042